상품명,스펙목록,가격
삼성전자 비스포크 제트 VS20A957D2,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 일체형청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 미드나잇블루 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm,595840
삼성전자 비스포크 제트 VS20A956AVW,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 210W / [구성] 바닥 / 솔형 / 틈새 / 일체형청정스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 미스티화이트 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm,478710
LG전자 코드제로 A9S AS9200BA,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200W / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 디스플레이표시창 / 배터리잔량표시 / [부가] 색상: 블랙 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,520830
다이슨 V10 앱솔루트,"핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 소프트롤러 / 다이렉트드라이브 / 미니모터 / 솔형 / 더스팅 / 틈새 / 도킹스테이션 / [배터리] 충전시간: 3시간30분 / 사용시간: 1시간 / [기능] 프리볼트 / [부가] 색상: 블루, 코퍼, 블랙 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x1241x256mm",556980
LG전자 오브제컬렉션 코드제로 A9S AU9802WD,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 220W / [구성] 와이드바닥 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (2개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 자동먼지비움 / [부가] 색상: 카밍베이지 / 무게: 2.7kg / 크기(가로x세로x깊이): 300x1120x260mm,805450
삼성전자 비스포크 제트 VS20B957E5,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 220W / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 연장툴 / 일체형청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 산토리니베이지 / 크기(가로x세로x깊이): 250x930x202mm,766110
아이닉 NEW i20,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 30000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 50분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / 배터리잔량표시 / [부가] 먼지통용량: 0.5L / 색상: 블랙 / 무게: 2.5kg / 크기(가로x세로x깊이): 241x1144x211mm,169000
조아스 차량용 듀얼 무선 에어건 청소기 JVC-3000,"차량용청소기 / 무선 / 흡입력: 12,000Pa / 최대출력: 80W / 헤파필터 / 충전시간: 2시간 / 사용시간 : 20분 / 7가지 청소노즐 / 무게: 377g / 65,000RPM 회전 BLDC모터",74800
LG전자 코드제로 A9S AS9271,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 분리형배기필터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 아이언그레이 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,592050
디월트 DCPW550B,업소용청소기 / 고압세척기 / 무선형 / [부가] 색상: 옐로우,203830
인트비즈 MORUN 차량용 무선 진공 청소기 V6,"차량용청소기 / 무선 / 흡입력: 15,000Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 12분(고속),25분(저속) / 배터리 용량: 2000mAh  / 충전시간: 3.5 시간 / 크기: 54x330mm / 무게: 532g",79000
LG전자 코드제로 A9S AT9200BA,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200W / [구성] 바닥 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 분리형배기필터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 블랙+딥그레이 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,571000
로엘 듀스핀3 PRO,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 충전시간: 4시간 / 사용시간: 3시간 / [기능] 물분사 / 각도조절 / 셀프스탠딩 / [부가] 먼지통용량: 0.24L / 색상: 화이트 / 무게: 1.99kg / 자동세척탈수 / 크기(가로x세로x깊이): 360x1160x170mm,179780
다이슨 V12 디텍트 슬림 컴플리트,"핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 150AW / [구성] 레이저슬림플러피 / 다이렉트드라이브 / 헤어스크류 / 솔형 / 더스팅 / 스터번더트 / 틈새 / 거치대 / 도킹스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 헤파필터 / [기능] 디스플레이표시창 / 먼지감지센서 / [부가] 먼지통용량: 0.35L / 색상: 옐로우/아이언/니켈, 골드/골드 / 무게: 2.2kg / 크기(가로x세로x깊이): 250x1095x251mm",807700
삼성전자 제트 VS15R8577Q5CW,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 150W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 거치대 / 청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 틸실버 / 무게: 2.64kg / 크기(가로x세로x깊이): 250x1123x215mm,378900
아이닉 i30 아이타워,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 35000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 거치대 / 청정스테이션 / [배터리] 분리형 (1개) / 사용시간: 50분 / [성능] BLDC모터 / 헤파필터 / 2단계여과 / [기능] 물걸레(별도구매) / 디스플레이표시창 / 먼지감지센서 / LED라이트 / 자동먼지비움 / [부가] 먼지통용량: 0.4L / 무게: 2.5kg / 크기(가로x세로x깊이): 313x628x143mm,269000
삼성전자 제트 VS20T92K0BF,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200W / [구성] 바닥 / 솔형 / 틈새 / 거치대 / 청정스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.6L / 색상: 코타블랙 / 무게: 2.64kg / 크기(가로x세로x깊이): 250x1123x215mm,394740
샤오미 미지아 K10,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 150AW / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간5분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / [부가] 먼지통용량: 0.5L / 물통용량: 0.25L,166230
LG전자 오브제컬렉션 코드제로 A9S AU9602WD,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 220W / [구성] 와이드바닥 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 자동먼지비움 / [부가] 색상: 카밍베이지 / 무게: 2.7kg / 크기(가로x세로x깊이): 300x1120x260mm,785570
아이닉 무선 미니 청소기 imini,"차량용청소기 / 무선 / 흡입력: 5,000Pa / 최대출력: 75W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 20분 / 충전시간: 4~5시간 / 충전방식: USB C타입 / 배터리용량: 2,000mAh / 크기: 50x235mm / 무게: 428g",43900
LG전자 오브제컬렉션 코드제로 A9S AU9872MPD,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 220W / [구성] 와이드바닥 / 물걸레 / 펫 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (2개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 자동먼지비움 / [부가] 색상: 클레이블루 / 무게: 2.7kg / 크기(가로x세로x깊이): 300x1120x260mm,897380
다이슨 V10 플러피 오리진,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 151AW / [구성] 소프트롤러 / 미니모터 / 솔형 / 더스팅 / 틈새 / 도킹스테이션 / [배터리] 충전시간: 3시간30분 / 사용시간: 1시간 / [부가] 먼지통용량: 0.5L / 색상: 레드 / 무게: 2.5kg / 크기(가로x세로x깊이): 256x1241x250mm,575840
다이슨 옴니 글라이드 컴플리트,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 50AW / [구성] 전방향플러피 / 미니모터 / 솔형 / 틈새 / 서페이스 / 연장툴 / 거치대 / 도킹스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 20분 / [성능] 헤파필터 / 5단계여과 / [부가] 먼지통용량: 0.2L / 색상: 퍼플 / 무게: 1.9kg / 버튼식 / 크기(가로x세로x깊이): 208x1077x92mm,446220
로엘 듀스핀5 PRO,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 충전시간: 2시간30분 / 사용시간: 3시간 / [기능] 물분사 / 각도조절 / 셀프스탠딩 / 걸레자동세척 / [부가] 물통용량: 0.3L / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 380x1210x180mm,298890
삼성전자 파워스틱 VS02R6512JG,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 틈새 / [배터리] 분리형 (1개) / [기능] 셀프스탠딩 / [부가] 먼지통용량: 0.25L / 색상: 뉴트럴그레이 / 무게: 2.7kg / 크기(가로x세로x깊이): 250x1130x225mm,165710
샤오미 드리미 V10,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 140AW / 흡입력: 22000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [부가] 먼지통용량: 0.5L / 색상: 화이트 / 무게: 1.5kg,156860
다이슨 V11 앱솔루트,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 185AW / [구성] 하이토크 / 소프트롤러 / 미니모터 / 솔형 / 더스팅 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간30분 / 사용시간: 1시간 / [성능] 헤파필터 / [기능] 디스플레이표시창 / [부가] 먼지통용량: 0.45L / 색상: 니켈 / 무게: 3kg / 크기(가로x세로x깊이): 250x1286x261mm,663980
엔뚜마노 무선 에어건 차량용 청소기 EM-AG2030,"차량용청소기 / 무선 / 최대출력: 80W / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 충전방식: USB C타입 / 배터리용량: 6,000mAh / 크기: 197x88mm / 무게: 380g",39900
LG전자 코드제로 A9S AT9270,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 200W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 분리형배기필터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 판타지실버+딥그레이 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,636970
일렉트로룩스 WELL Q6 WQ61-1EDB,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 더스팅 / 긴틈새 / 거치대 / [배터리] 내장형 / 충전시간: 4시간30분 / 사용시간: 45분 / [성능] 5단계여과 / [기능] 브러쉬자동청소 / 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.3L / 색상: 데님블루 / 무게: 2.65kg / 크기(가로x세로x깊이): 258x1105x140mm,182860
일렉트로룩스 퓨어 Q9 파워프로 PQ92-3OBF,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 더스팅 / 틈새 / 거치대 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 53분 / [성능] 5단계여과 / [기능] 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.3L / 색상: 인디고블루 / 무게: 2.89kg / 크기(가로x세로x깊이): 256x1097x155mm,305290
오아 클린듀얼 차량용 청소기 OCL-028BK,"차량용청소기 / 무선 / 흡입력: 15,000~Pa / 2중필터 / 헤파필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 25분 / 충전시간: 3.5시간 / 크기: 70x54x330mm / 무게 : 520g",79000
벤딕트 차량용 핸디 무선 청소기 VDT-031,"차량용청소기 / 무선 / 흡입력: 6,000~15,000Pa / 최대출력: 120W / 헤파필터 / 스테인리스 필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 18~50분 / 충전방식: USB C타입 / 배터리용량: 7,500mAh / 크기: 294x55x55mm / 무게: 500g",87000
DIBEA 차이슨 ALLNEW22000 스노우화이트,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 40000Pa / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 내장형 / 충전시간: 4~5시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.55L / 색상: 스노우화이트 / 무게: 2.2kg / 크기(가로x세로x깊이): 240x1040x212mm,197490
비쎌(BISSELL) 크로스웨이브 3.0 PRO 2765Z,"물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 사용시간: 30분 / [기능] 배터리잔량표시 / 걸레자동세척 / [부가] 물통용량: 정수: 0.828L, 오수: 0.55L / 크기(가로x세로x깊이): 265x1125x65mm",183250
리하스 차량용 미니 무선 청소기 TEB-4120,"차량용청소기 / 무선 / 흡입력: 15,000Pa / 최대출력: 120W / 헤파필터 / 스테인리스 필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 15~28분 / 충전시간: 4~5시간 / 색상: 블랙, 스카이블루, 화이트 / 크기: 415mm / 무게: 520g",86500
삼성전자 비스포크 제트 VS20B956BUE,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 220W / [구성] 바닥 / 침구 / 솔형 / 틈새 / 일체형청정스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 산토리니베이지 / 크기(가로x세로x깊이): 250x930x202mm,546100
일렉트로룩스 얼티밋홈 900 EFP91813,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 업탑어댑터 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 1시간38분 / 사용시간: 1시간 / [성능] 인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / 디스플레이표시창 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.4L / 색상: 그라나이트그레이 / 무게: 2.88kg / 크기(가로x세로x깊이): 260x1120x260mm,299000
다이슨 Gen5 디텍트™ 컴플리트,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 262AW / [구성] 플러피옵틱클리너 / 헤어스크류 / 미니모터 / 긴틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간30 / 사용시간: 1시간10분 / [성능] 헤파필터 / [기능] 디스플레이표시창 / 먼지감지센서 / [부가] 먼지통용량: 0.77L / 색상: 퍼플/퍼플 / 무게: 3.5kg / 크기(가로x세로x깊이): 276x1276x250mm,1225460
샤오미 LYDSTO 차량용 무선 청소기 H2 (해외구매),"차량용청소기 / 무선 / 흡입력: 16,000Pa / 최대출력: 120W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 32분 / 소음: 85dB 미만 / 충전방식: USB C타입 / 색상: 블랙, 화이트 / 크기: 56x265mm",37320
일렉트로룩스 WELL Q8 WQ81-3PSGF,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 펫 / 솔형 / 긴틈새 / [배터리] 내장형 / 충전시간: 4시간30분 / 사용시간: 53분 / [성능] 알러지필터 / E10급 / 5단계여과 / [기능] 셀프스탠딩 / LED라이트 / [부가] 먼지통용량: 0.3L / 색상: 쉘그레이 / 무게: 2.8kg / 크기(가로x세로x깊이): 258x1105x140mm,234170
삼성전자 비스포크 제트 VS20A957D3,"핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 연장툴 / 일체형청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 미드나잇블루 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm / 출시가: 1,118,800원",587910
레모토 윈드팡 에어건 무선청소기 AD-KF80,"차량용청소기 / 무선 / 흡입력: 최대 9,000Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 최대 25분 / 충전시간: 약3.5시간 / 크기: 334x80x80mm / 무게: 625g",68000
샤오미 미홀 M22,핸디스틱청소기 / 무선형 / 흡입전용 / 바닥 / 침구 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / [성능] BLDC모터 / 헤파필터 / [기능] 물걸레(별도구매) / LED라이트 / [부가] 먼지통용량: 0.6L / 무게: 1.5kg / 크기(가로x세로x깊이): 240x1040x204mm,168290
샤오미 SWDK-D260,물걸레청소기 / 왕복식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 충전시간: 3시간 / 사용시간: 50분 / [기능] 물분사 / LED라이트 / [부가] 색상: 화이트 / 무게: 2.4kg,59750
픽스 차량용 휴대용 무선 에어건 청소기 XVC-301,"차량용청소기 / 무선 / 흡입력: 5,000Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 사용시간: 15분 / 색상: 블랙, 화이트 / 크기: 258x57X57mm / 무게: 300g / 소음: 70dB",39800
